text,star,app_id,reviewDate,Scores,grammar_scores
Anathi Khanyile,5,com.fingersoft.hillclimb,18/03/21,11923.968,0.0
Tony bahut funny hai Hill climbing racing my favourite game,5,com.fingersoft.hillclimb,18/03/21,2675.7998,0.0
Teturwu,1,com.fingersoft.hillclimb,18/03/21,10662.207,0.0
Hoooooooooooyaaaaaaaaa what a game hooooooooooooyaaaaaaaa,5,com.fingersoft.hillclimb,18/03/21,53.69357,89.26128616333008
This game is nice,5,com.fingersoft.hillclimb,18/03/21,191.8716,61.62568054199219
Rahulyadavo,5,com.fingersoft.hillclimb,18/03/21,2475.3154,0.0
"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars cuz it's right pedal stops working in the game and that's why I kept falling on the bridge.",4,com.fingersoft.hillclimb,18/03/21,52.055977,89.58880462646485
Very taty,3,com.fingersoft.hillclimb,18/03/21,534.71405,0.0
good,5,com.fingersoft.hillclimb,18/03/21,,0.0
I LIKE THIS GAME,5,com.fingersoft.hillclimb,18/03/21,295.80112,40.839776611328126
Racing,5,com.fingersoft.hillclimb,18/03/21,7190.3496,0.0
 ,5,com.fingersoft.hillclimb,18/03/21,,0.0
Awesome game. easy to use options.,5,com.fingersoft.hillclimb,18/03/21,158.27129,68.34574279785156
Very noob game,1,com.fingersoft.hillclimb,18/03/21,2069.565,0.0
Hill climb racing 2 vip game,5,com.fingersoft.hillclimb,18/03/21,6940.294,0.0
Good games,4,com.fingersoft.hillclimb,18/03/21,6374.836,0.0
I is so oosem game,5,com.fingersoft.hillclimb,18/03/21,1158.6726,0.0
Good game,3,com.fingersoft.hillclimb,18/03/21,2247.7795,0.0
All right for the price you pay.,4,com.alibaba.aliexpresshd,18/03/21,63.94753,87.21049423217774
"I like the app, it works really well. It is a much better experience then the website.",5,com.alibaba.aliexpresshd,18/03/21,21.668705,95.66625900268555
Chicago,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Please add dark amoled theme,4,com.alibaba.aliexpresshd,18/03/21,16715.385,0.0
Very easy to use and my delivery was quick and very well protected. Thank you! A+,5,com.alibaba.aliexpresshd,18/03/21,35.529007,92.89419860839844
Awesome,4,com.alibaba.aliexpresshd,18/03/21,,0.0
Excelent Best of all,5,com.alibaba.aliexpresshd,18/03/21,1086.8037,0.0
